"emp_no","first_name","last_name","hire_date"
10001,"Georgi","Facello","1986-06-26"
10003,"Parto","Bamford","1986-08-28"
10004,"Chirstian","Koblick","1986-12-01"
10053,"Sanjiv","Zschoche","1986-02-04"
10066,"Kwee","Schusler","1986-02-26"
10079,"Kshitij","Gils","1986-03-27"
10081,"Zhongwei","Rosen","1986-10-30"
10087,"Xinglin","Eugenio","1986-09-08"
10089,"Sudharsan","Flasterstein","1986-08-12"
10090,"Kendra","Hofting","1986-03-14"
10095,"Hilari","Morton","1986-07-15"
10103,"Akemi","Birch","1986-12-02"
10108,"Lunjin","Giveon","1986-10-02"
10110,"Xuejia","Ullian","1986-08-22"
10115,"Chikara","Rissland","1986-01-23"
10119,"Domenick","Peltason","1986-03-14"
10136,"Zissis","Pintelas","1986-02-11"
10138,"Perry","Shimshoni","1986-09-18"
10147,"Kazuhito","Encarnacion","1986-08-21"
10149,"Xiadong","Perry","1986-11-05"
10150,"Zhenbing","Perng","1986-11-16"
10152,"Jaques","Munro","1986-01-27"
10158,"Khedija","Mitsuhashi","1986-01-29"
10168,"Dharmaraja","Stassinopoulos","1986-12-06"
10170,"Kasturi","Jenevein","1986-01-02"
10178,"Valery","Litvinov","1986-10-07"
10180,"Shaw","Wendorf","1986-02-25"
10185,"Duro","Sidhu","1986-03-01"
10186,"Shigehito","Kropatsch","1986-03-28"
10190,"Arve","Fairtlough","1986-06-23"
10191,"Zdislav","Nastansky","1986-04-10"
10201,"Idoia","Kavraki","1986-11-22"
10204,"Nevio","Ritcey","1986-12-04"
10217,"Yongmin","Roison","1986-05-12"
10222,"Tze","Nourani","1986-06-08"
10225,"Kellie","Chinen","1986-06-19"
10238,"Mototsugu","Gire","1986-11-19"
10257,"Aiman","Riexinger","1986-08-05"
10259,"Susanna","Vesel","1986-06-25"
10268,"Nishit","Siochi","1986-12-17"
10271,"Sham","Eastman","1986-05-23"
10282,"Hercules","Benzmuller","1986-06-04"
10291,"Dipayan","Seghrouchni","1986-09-29"
10297,"Narain","Oaver","1986-05-28"
10302,"Faiza","Baer","1986-07-22"
10312,"Rasiah","Deyuan","1986-08-28"
10314,"Christfried","Apsitis","1986-01-16"
10317,"Arie","Birge","1986-12-10"
10329,"Remko","Shigei","1986-01-20"
10361,"Seshu","Sidou","1986-10-23"
10369,"Qunsheng","Toyoshima","1986-05-17"
10384,"Feiyu","Luft","1986-01-16"
10396,"Sibyl","Rahier","1986-01-11"
10412,"Masoud","Fabrizio","1986-05-06"
10429,"Martien","Improta","1986-03-09"
10435,"Marsha","Tagansky","1986-12-19"
10494,"Yakkov","Servieres","1986-01-18"
10512,"Udi","Gihr","1986-01-12"
10519,"Yonghoan","Alencar","1986-03-22"
10522,"Marke","Cesareni","1986-12-12"
10532,"Mary","Wossner","1986-05-18"
10533,"Mohamadou","Smailagic","1986-10-31"
10541,"Godehard","Eiter","1986-02-28"
10548,"Ramalingam","Gunderson","1986-05-04"
10557,"Sashi","Karlin","1986-03-31"
10564,"Jianhao","Thisen","1986-05-08"
10582,"Shmuel","Juneja","1986-06-22"
10584,"Mana","Papastamatiou","1986-02-17"
10585,"Sajjad","Willoner","1986-01-05"
10590,"Yongqiao","Kalloufi","1986-04-09"
10608,"Adhemar","Talmor","1986-05-25"
10629,"Lalit","Francisci","1986-01-30"
10642,"Hirochika","Narlikar","1986-08-06"
10662,"Arto","Serra","1986-09-28"
10672,"Bluma","Zeilberger","1986-07-13"
10676,"Valeri","Danley","1986-03-20"
10680,"Kish","Honglei","1986-06-20"
10693,"Berhard","Daescu","1986-01-08"
10701,"Hyuncheol","Zolotykh","1986-10-27"
10709,"Jiafu","Mateescu","1986-02-02"
10713,"Jagoda","Naumovich","1986-04-26"
10729,"Percy","Lorho","1986-04-20"
10757,"Florina","Simkin","1986-01-06"
10776,"Mahmut","Skafidas","1986-03-16"
10778,"Selwyn","Merey","1986-07-04"
10807,"Munehiro","Zallocco","1986-10-23"
10819,"Pascal","Sooriamurthi","1986-08-02"
10820,"Baocai","Pena","1986-02-23"
10822,"Masaru","Passino","1986-01-11"
10828,"Godehard","Gammage","1986-02-14"
10832,"Hidde","Bergere","1986-10-11"
10837,"Chuanti","Karlin","1986-01-14"
10842,"Berni","Sanella","1986-07-14"
10847,"Theirry","Danley","1986-07-25"
10856,"Sreenivas","Peck","1986-12-31"
10867,"Billur","Gyorkos","1986-10-08"
10874,"Mahmut","Borstler","1986-04-22"
10877,"Subir","Biron","1986-06-06"
10880,"Weiye","Nitsche","1986-04-20"
10895,"Vishwani","Petersohn","1986-04-26"
10897,"Arno","Kumaresan","1986-04-09"
10898,"Munenori","Markovitch","1986-04-10"
10912,"Oscal","Fasbender","1986-04-23"
10921,"Mara","Bahi","1986-07-27"
10925,"Heng","Waterhouse","1986-09-04"
10952,"Inderjeet","Bharadwaj","1986-07-22"
10955,"Urs","Danley","1986-09-27"
10961,"Weiwu","Choobineh","1986-05-14"
10962,"Naraig","Kugler","1986-12-16"
10965,"Eckart","Braunschweig","1986-07-29"
10975,"Peternela","Birnbaum","1986-10-31"
10979,"Elrique","Raney","1986-01-27"
11005,"Byong","Douceur","1986-07-27"
11009,"Alper","Axelband","1986-09-09"
11010,"Jaques","Narwekar","1986-12-18"
11012,"Taegyun","Speckmann","1986-12-28"
11027,"Remzi","Cappello","1986-05-07"
11028,"Miyeon","Krider","1986-06-18"
11050,"Elvis","Katiyar","1986-05-06"
11054,"Utpal","Krohn","1986-07-18"
11059,"Shawna","Jarecki","1986-11-17"
11073,"Yuriy","Clemencon","1986-08-18"
11085,"Hailing","Thummel","1986-11-27"
11090,"Ebbe","Hasenauer","1986-07-25"
11093,"Licheng","Kitai","1986-02-17"
11096,"Shugo","Zallocco","1986-12-12"
11100,"Berna","Cochrane","1986-10-13"
11136,"Gladys","Luiz","1986-02-04"
11137,"Hugh","Luca","1986-07-31"
11138,"Adel","Matteis","1986-10-22"
11159,"Becky","Schlenzig","1986-08-31"
11180,"Mitsuyuki","Bojadziev","1986-06-11"
11197,"Tadahiro","Fordan","1986-04-13"
11210,"Kamakshi","Decaestecker","1986-02-27"
11226,"Margareta","Akiyama","1986-07-13"
11237,"Brendon","Salinas","1986-03-30"
11252,"Rutger","Dulin","1986-01-15"
11255,"Ortrud","Karunanithi","1986-10-08"
11256,"Gudjon","Ratzlaff","1986-09-25"
11257,"Weidon","Pews","1986-12-12"
11259,"Amalendu","Gronowski","1986-12-26"
11264,"Uma","Oehlmann","1986-10-09"
11278,"Sumali","Juneja","1986-04-22"
11303,"Jaewoo","Usery","1986-11-05"
11305,"Augustine","Schwabacher","1986-04-11"
11307,"Mohd","Dratva","1986-03-24"
11308,"Tadahiro","Tibblin","1986-08-07"
11313,"Paraskevi","Kusalik","1986-02-28"
11318,"Gopalakrishnan","Unno","1986-01-25"
11319,"Pranas","Marrakchi","1986-10-03"
11328,"Xiong","Ferriere","1986-08-08"
11334,"Yurij","Vural","1986-10-12"
11347,"Anneli","Jonsson","1986-04-20"
11353,"Utpal","Berztiss","1986-08-25"
11363,"Jenwei","Milicia","1986-03-16"
11376,"Valery","Suomi","1986-03-14"
11378,"Masamitsu","Katiyar","1986-01-03"
11398,"Oscar","Peir","1986-08-23"
11421,"Josyula","Msuda","1986-09-02"
